code,name,category,parent_code,description
2313,代理兑付证券款,LIABILITY,200000,核算企业接受委托代理兑付证券收到的兑付资金。
2314,代理业务负债,LIABILITY,200000,核算企业不承担风险的代理业务收到的款项。
2401,递延收益,LIABILITY,200000,核算企业确认的应在以后期间计入当期损益的政府补助等递延收益。
2501,长期借款,LIABILITY,200000,核算企业向银行或其他金融机构借入的期限在一年以上的各项借款。
2502,应付债券,LIABILITY,200000,核算企业为筹集长期资金而发行债券的本金和利息。
2601,未到期责任准备金,LIABILITY,200000,核算企业保险业务确认的原保险合同未到期责任准备金。
2602,保险责任准备金,LIABILITY,200000,核算企业保险业务确认的原保险合同保险责任准备金。
2611,保户储金,LIABILITY,200000,核算企业保险业务收到投保人以储金本金增值作为保费收入的储金。
2621,独立账户负债,LIABILITY,200000,核算企业保险业务确认的独立账户负债价值。
2701,长期应付款,LIABILITY,200000,核算企业除长期借款和应付债券以外的其他各种长期应付款项。
2702,未确认融资费用,LIABILITY,200000,核算企业应当分期计入利息费用的未确认融资费用。
2711,专项应付款,LIABILITY,200000,核算企业取得政府作为企业所有者投入的具有专项或特定用途的款项。
2801,预计负债,LIABILITY,200000,核算企业确认的对外提供担保、未决诉讼、产品质量保证等预计负债。
2901,递延所得税负债,LIABILITY,200000,核算企业确认的应纳税暂时性差异产生的所得税负债。
3001,清算资金往来,COMMON,300000,共同类科目，核算企业清算业务资金往来。
3002,货币兑换,COMMON,300000,共同类科目，核算企业外币兑换业务。
3101,衍生工具,COMMON,300000,共同类科目，核算企业衍生金融工具公允价值及其变动形成的衍生资产或负债。
3201,套期工具,COMMON,300000,共同类科目，核算企业开展套期保值业务形成的套期工具公允价值变动。
3202,被套期项目,COMMON,300000,共同类科目，核算企业开展套期保值业务形成的被套期项目公允价值变动。
4001,实收资本,EQUITY,400000,核算企业接受投资者投入的实收资本；股份有限公司使用股本口径。
4002,资本公积,EQUITY,400000,核算企业收到投资者出资额超出其在注册资本或股本中所占份额的部分以及其他资本公积。
4101,盈余公积,EQUITY,400000,核算企业从净利润中提取的盈余公积。
4102,一般风险准备,EQUITY,400000,核算企业金融业务按规定从净利润中提取的一般风险准备。
4103,本年利润,EQUITY,400000,核算企业当期实现的净利润或发生的净亏损。
4104,利润分配,EQUITY,400000,核算企业利润的分配或亏损的弥补以及历年分配或弥补后的余额。
4201,库存股,EQUITY,400000,核算企业收购、转让或注销本公司股份金额。
5001,生产成本,COST,500000,核算企业进行工业性生产发生的各项生产成本。
5101,制造费用,COST,500000,核算企业生产车间为生产产品和提供劳务而发生的各项间接费用。
5201,劳务成本,COST,500000,核算企业对外提供劳务发生的成本。
5301,研发支出,COST,500000,核算企业进行研究与开发无形资产过程中发生的各项支出。
5401,工程施工,COST,500000,核算企业建造承包商实际发生的合同成本和合同毛利。
5402,工程结算,COST,500000,核算建造承包商根据建造合同约定向业主办理结算的累计金额。
5403,机械作业,COST,500000,核算施工企业及其内部独立核算的施工单位、机械站和运输队使用自有施工机械和运输设备进行机械作业所发生的各项费用。
6001,主营业务收入,REVENUE,600000,核算企业确认的销售商品、提供劳务等主营业务收入。
6011,利息收入,REVENUE,600000,核算金融企业确认的利息收入。
6021,手续费及佣金收入,REVENUE,600000,核算企业确认的手续费及佣金收入。
6031,保费收入,REVENUE,600000,核算保险企业确认的保费收入。
6041,租赁收入,REVENUE,600000,核算企业确认的租赁收入。
6051,其他业务收入,REVENUE,600000,核算企业确认的除主营业务活动以外的其他经营活动实现的收入。
6061,汇兑损益,EXPENSE,600000,核算企业外币交易因汇率变动形成的汇兑损益。
6101,公允价值变动损益,EXPENSE,600000,核算企业交易性金融资产、交易性金融负债等公允价值变动形成的应计入当期损益的利得或损失。
6111,投资收益,REVENUE,600000,核算企业确认的投资收益或投资损失。
6201,摊回保险责任准备金,REVENUE,600000,核算再保险分出人摊回的保险责任准备金。
6202,摊回赔付支出,REVENUE,600000,核算再保险分出人向再保险接受人摊回的赔付成本。
6203,摊回分保费用,REVENUE,600000,核算再保险分出人向再保险接受人摊回的分保费用。
6301,营业外收入,REVENUE,600000,核算企业发生的各项营业外收入。
6401,主营业务成本,COST,600000,核算企业确认销售商品、提供劳务等主营业务收入时应结转的成本。
6402,其他业务成本,COST,600000,核算企业确认的除主营业务活动以外其他经营活动所发生的支出。
6403,营业税金及附加,EXPENSE,600000,核算企业经营活动发生的消费税、城市维护建设税、资源税和教育费附加等相关税费。
6411,利息支出,EXPENSE,600000,核算金融企业发生的利息支出。
6421,手续费及佣金支出,EXPENSE,600000,核算企业发生的与经营活动有关的手续费和佣金支出。
6501,提取未到期责任准备金,EXPENSE,600000,核算保险企业提取的未到期责任准备金。
6502,提取保险责任准备金,EXPENSE,600000,核算保险企业提取的原保险合同保险责任准备金。
6511,赔付支出,EXPENSE,600000,核算保险企业支付的原保险合同赔付款项和再保险合同赔付款项。
6521,保单红利支出,EXPENSE,600000,核算保险企业按原保险合同约定支付给投保人的红利。
6531,退保金,EXPENSE,600000,核算保险企业原保险合同提前解除时按照约定退还投保人的保单现金价值。
6541,分出保费,EXPENSE,600000,核算再保险分出人向再保险接受人分出的保费。
6542,分保费用,EXPENSE,600000,核算再保险分出人向再保险接受人摊回的分保费用。
6601,销售费用,EXPENSE,600000,核算企业销售商品和材料、提供劳务过程中发生的各种费用。
6602,管理费用,EXPENSE,600000,核算企业为组织和管理生产经营发生的管理费用。
6603,财务费用,EXPENSE,600000,核算企业为筹集生产经营所需资金等发生的筹资费用。
6604,勘探费用,EXPENSE,600000,核算企业进行油气勘探所发生的地质调查、物理化学勘探各项支出和非成功探井等支出。
6701,资产减值损失,EXPENSE,600000,核算企业计提各项资产减值准备所形成的损失。
6711,营业外支出,EXPENSE,600000,核算企业发生的各项营业外支出。
6801,所得税费用,EXPENSE,600000,核算企业确认的应从当期利润总额中扣除的所得税费用。
6901,以前年度损益调整,EXPENSE,600000,核算企业本年度发生的调整以前年度损益的事项。
